product_id,product_type,product_name,size,colour,quantity,description,price
1,Shirt,Oxford Cloth,S,red,53,"A red coloured, S sized, Oxford Cloth Shirt",96.0
2,Shirt,Oxford Cloth,M,red,54,"A red coloured, M sized, Oxford Cloth Shirt",96.0
3,Shirt,Oxford Cloth,L,red,69,"A red coloured, L sized, Oxford Cloth Shirt",96.0
4,Shirt,Oxford Cloth,XL,red,47,"A red coloured, XL sized, Oxford Cloth Shirt",96.0
5,Shirt,Oxford Cloth,XS,orange,45,"A orange coloured, XS sized, Oxford Cloth Shirt",96.0
6,Shirt,Oxford Cloth,S,orange,72,"A orange coloured, S sized, Oxford Cloth Shirt",96.0
7,Shirt,Oxford Cloth,M,orange,77,"A orange coloured, M sized, Oxford Cloth Shirt",96.0
8,Shirt,Oxford Cloth,L,orange,48,"A orange coloured, L sized, Oxford Cloth Shirt",96.0
9,Shirt,Oxford Cloth,XL,orange,43,"A orange coloured, XL sized, Oxford Cloth Shirt",96.0
10,Shirt,Oxford Cloth,XS,yellow,72,"A yellow coloured, XS sized, Oxford Cloth Shirt",96.0
11,Shirt,Oxford Cloth,S,yellow,78,"A yellow coloured, S sized, Oxford Cloth Shirt",96.0
12,Shirt,Oxford Cloth,M,yellow,56,"A yellow coloured, M sized, Oxford Cloth Shirt",96.0
13,Shirt,Oxford Cloth,L,yellow,75,"A yellow coloured, L sized, Oxford Cloth Shirt",96.0
14,Shirt,Oxford Cloth,XL,yellow,50,"A yellow coloured, XL sized, Oxford Cloth Shirt",96.0
15,Shirt,Oxford Cloth,XS,green,68,"A green coloured, XS sized, Oxford Cloth Shirt",96.0
16,Shirt,Oxford Cloth,S,green,56,"A green coloured, S sized, Oxford Cloth Shirt",96.0
17,Shirt,Oxford Cloth,M,green,60,"A green coloured, M sized, Oxford Cloth Shirt",96.0
18,Shirt,Oxford Cloth,L,green,52,"A green coloured, L sized, Oxford Cloth Shirt",96.0
19,Shirt,Oxford Cloth,XL,green,42,"A green coloured, XL sized, Oxford Cloth Shirt",96.0
20,Shirt,Oxford Cloth,XS,blue,47,"A blue coloured, XS sized, Oxford Cloth Shirt",96.0
21,Shirt,Oxford Cloth,S,blue,51,"A blue coloured, S sized, Oxford Cloth Shirt",96.0
22,Shirt,Oxford Cloth,M,blue,57,"A blue coloured, M sized, Oxford Cloth Shirt",96.0
23,Shirt,Oxford Cloth,L,blue,59,"A blue coloured, L sized, Oxford Cloth Shirt",96.0
24,Shirt,Oxford Cloth,XL,blue,60,"A blue coloured, XL sized, Oxford Cloth Shirt",96.0
25,Shirt,Oxford Cloth,XS,indigo,61,"A indigo coloured, XS sized, Oxford Cloth Shirt",96.0
26,Shirt,Oxford Cloth,S,indigo,59,"A indigo coloured, S sized, Oxford Cloth Shirt",96.0
27,Shirt,Oxford Cloth,M,indigo,62,"A indigo coloured, M sized, Oxford Cloth Shirt",96.0
28,Shirt,Oxford Cloth,L,indigo,70,"A indigo coloured, L sized, Oxford Cloth Shirt",96.0
29,Shirt,Oxford Cloth,XL,indigo,55,"A indigo coloured, XL sized, Oxford Cloth Shirt",96.0
30,Shirt,Oxford Cloth,XS,violet,74,"A violet coloured, XS sized, Oxford Cloth Shirt",96.0
31,Shirt,Oxford Cloth,S,violet,41,"A violet coloured, S sized, Oxford Cloth Shirt",96.0
32,Shirt,Oxford Cloth,M,violet,65,"A violet coloured, M sized, Oxford Cloth Shirt",96.0
33,Shirt,Oxford Cloth,L,violet,73,"A violet coloured, L sized, Oxford Cloth Shirt",96.0
34,Shirt,Oxford Cloth,XL,violet,54,"A violet coloured, XL sized, Oxford Cloth Shirt",96.0
35,Shirt,Dress,XS,red,63,"A red coloured, XS sized, Dress Shirt",104.0
36,Shirt,Dress,S,red,72,"A red coloured, S sized, Dress Shirt",104.0
37,Shirt,Dress,M,red,57,"A red coloured, M sized, Dress Shirt",104.0
38,Shirt,Dress,L,red,79,"A red coloured, L sized, Dress Shirt",104.0
39,Shirt,Dress,XL,red,47,"A red coloured, XL sized, Dress Shirt",104.0
40,Shirt,Dress,XS,orange,58,"A orange coloured, XS sized, Dress Shirt",104.0
41,Shirt,Dress,S,orange,69,"A orange coloured, S sized, Dress Shirt",104.0
42,Shirt,Dress,M,orange,53,"A orange coloured, M sized, Dress Shirt",104.0
43,Shirt,Dress,L,orange,73,"A orange coloured, L sized, Dress Shirt",104.0
44,Shirt,Dress,XL,orange,78,"A orange coloured, XL sized, Dress Shirt",104.0
45,Shirt,Dress,XS,yellow,69,"A yellow coloured, XS sized, Dress Shirt",104.0
46,Shirt,Dress,S,yellow,56,"A yellow coloured, S sized, Dress Shirt",104.0
47,Shirt,Dress,M,yellow,61,"A yellow coloured, M sized, Dress Shirt",104.0
48,Shirt,Dress,L,yellow,56,"A yellow coloured, L sized, Dress Shirt",104.0
49,Shirt,Dress,XL,yellow,75,"A yellow coloured, XL sized, Dress Shirt",104.0
50,Shirt,Dress,XS,green,51,"A green coloured, XS sized, Dress Shirt",104.0
51,Shirt,Dress,S,green,60,"A green coloured, S sized, Dress Shirt",104.0
52,Shirt,Dress,M,green,65,"A green coloured, M sized, Dress Shirt",104.0
53,Shirt,Dress,L,green,52,"A green coloured, L sized, Dress Shirt",104.0
54,Shirt,Dress,XL,green,52,"A green coloured, XL sized, Dress Shirt",104.0
55,Shirt,Dress,XS,blue,41,"A blue coloured, XS sized, Dress Shirt",104.0
56,Shirt,Dress,S,blue,46,"A blue coloured, S sized, Dress Shirt",104.0
57,Shirt,Dress,M,blue,48,"A blue coloured, M sized, Dress Shirt",104.0
58,Shirt,Dress,L,blue,61,"A blue coloured, L sized, Dress Shirt",104.0
59,Shirt,Dress,XL,blue,66,"A blue coloured, XL sized, Dress Shirt",104.0
60,Shirt,Dress,XS,indigo,56,"A indigo coloured, XS sized, Dress Shirt",104.0
61,Shirt,Dress,S,indigo,40,"A indigo coloured, S sized, Dress Shirt",104.0
62,Shirt,Dress,M,indigo,51,"A indigo coloured, M sized, Dress Shirt",104.0
63,Shirt,Dress,L,indigo,71,"A indigo coloured, L sized, Dress Shirt",104.0
64,Shirt,Dress,XL,indigo,75,"A indigo coloured, XL sized, Dress Shirt",104.0
