sales_id,order_id,product_id,price_per_unit,quantity_x,total_price,product_type,product_name,size,colour,quantity_y,description,price
0,1,218,106,2,212,Shirt,Chambray,L,orange,44,"A orange coloured, L sized, Chambray Shirt",106.0
1129,233,218,106,3,318,Shirt,Chambray,L,orange,44,"A orange coloured, L sized, Chambray Shirt",106.0
4616,924,218,106,2,212,Shirt,Chambray,L,orange,44,"A orange coloured, L sized, Chambray Shirt",106.0
1,1,481,118,1,118,Jacket,Puffer,S,indigo,62,"A indigo coloured, S sized, Puffer Jacket",118.0
349,79,481,118,2,236,Jacket,Puffer,S,indigo,62,"A indigo coloured, S sized, Puffer Jacket",118.0
1367,282,481,118,1,118,Jacket,Puffer,S,indigo,62,"A indigo coloured, S sized, Puffer Jacket",118.0
1408,289,481,118,2,236,Jacket,Puffer,S,indigo,62,"A indigo coloured, S sized, Puffer Jacket",118.0
3315,668,481,118,1,118,Jacket,Puffer,S,indigo,62,"A indigo coloured, S sized, Puffer Jacket",118.0
3669,735,481,118,3,354,Jacket,Puffer,S,indigo,62,"A indigo coloured, S sized, Puffer Jacket",118.0
2,1,2,96,3,288,Shirt,Oxford Cloth,M,red,54,"A red coloured, M sized, Oxford Cloth Shirt",96.0
128,28,2,96,2,192,Shirt,Oxford Cloth,M,red,54,"A red coloured, M sized, Oxford Cloth Shirt",96.0
141,30,2,96,1,96,Shirt,Oxford Cloth,M,red,54,"A red coloured, M sized, Oxford Cloth Shirt",96.0
651,138,2,96,2,192,Shirt,Oxford Cloth,M,red,54,"A red coloured, M sized, Oxford Cloth Shirt",96.0
1534,313,2,96,1,96,Shirt,Oxford Cloth,M,red,54,"A red coloured, M sized, Oxford Cloth Shirt",96.0
3425,691,2,96,2,192,Shirt,Oxford Cloth,M,red,54,"A red coloured, M sized, Oxford Cloth Shirt",96.0
3,1,1002,106,2,212,Trousers,Wool,M,blue,52,"A blue coloured, M sized, Wool Trousers",106.0
608,128,1002,106,2,212,Trousers,Wool,M,blue,52,"A blue coloured, M sized, Wool Trousers",106.0
1170,242,1002,106,3,318,Trousers,Wool,M,blue,52,"A blue coloured, M sized, Wool Trousers",106.0
3347,674,1002,106,3,318,Trousers,Wool,M,blue,52,"A blue coloured, M sized, Wool Trousers",106.0
4,1,691,113,3,339,Jacket,Parka,S,indigo,53,"A indigo coloured, S sized, Parka Jacket",113.0
2084,419,691,113,3,339,Jacket,Parka,S,indigo,53,"A indigo coloured, S sized, Parka Jacket",113.0
2291,464,691,113,3,339,Jacket,Parka,S,indigo,53,"A indigo coloured, S sized, Parka Jacket",113.0
3655,733,691,113,1,113,Jacket,Parka,S,indigo,53,"A indigo coloured, S sized, Parka Jacket",113.0
4072,810,691,113,3,339,Jacket,Parka,S,indigo,53,"A indigo coloured, S sized, Parka Jacket",113.0
5,1,981,106,3,318,Trousers,Wool,S,red,65,"A red coloured, S sized, Wool Trousers",106.0
2389,484,981,106,3,318,Trousers,Wool,S,red,65,"A red coloured, S sized, Wool Trousers",106.0
4003,797,981,106,1,106,Trousers,Wool,S,red,65,"A red coloured, S sized, Wool Trousers",106.0
6,2,915,96,1,96,Trousers,Drawstring,XS,orange,41,"A orange coloured, XS sized, Drawstring Trousers",96.0
386,88,915,96,2,192,Trousers,Drawstring,XS,orange,41,"A orange coloured, XS sized, Drawstring Trousers",96.0
4574,911,915,96,1,96,Trousers,Drawstring,XS,orange,41,"A orange coloured, XS sized, Drawstring Trousers",96.0
4749,953,915,96,2,192,Trousers,Drawstring,XS,orange,41,"A orange coloured, XS sized, Drawstring Trousers",96.0
7,2,686,113,1,113,Jacket,Parka,S,blue,72,"A blue coloured, S sized, Parka Jacket",113.0
3260,657,686,113,1,113,Jacket,Parka,S,blue,72,"A blue coloured, S sized, Parka Jacket",113.0
4008,798,686,113,1,113,Jacket,Parka,S,blue,72,"A blue coloured, S sized, Parka Jacket",113.0
8,2,1091,115,3,345,Trousers,Cropped,S,orange,78,"A orange coloured, S sized, Cropped Trousers",115.0
421,95,1091,115,1,115,Trousers,Cropped,S,orange,78,"A orange coloured, S sized, Cropped Trousers",115.0
509,111,1091,115,1,115,Trousers,Cropped,S,orange,78,"A orange coloured, S sized, Cropped Trousers",115.0
770,162,1091,115,3,345,Trousers,Cropped,S,orange,78,"A orange coloured, S sized, Cropped Trousers",115.0
2591,520,1091,115,2,230,Trousers,Cropped,S,orange,78,"A orange coloured, S sized, Cropped Trousers",115.0
2617,525,1091,115,3,345,Trousers,Cropped,S,orange,78,"A orange coloured, S sized, Cropped Trousers",115.0
2755,551,1091,115,3,345,Trousers,Cropped,S,orange,78,"A orange coloured, S sized, Cropped Trousers",115.0
4231,843,1091,115,1,115,Trousers,Cropped,S,orange,78,"A orange coloured, S sized, Cropped Trousers",115.0
9,2,1196,105,1,105,Trousers,Pleated,S,orange,72,"A orange coloured, S sized, Pleated Trousers",105.0
534,115,1196,105,1,105,Trousers,Pleated,S,orange,72,"A orange coloured, S sized, Pleated Trousers",105.0
3191,643,1196,105,2,210,Trousers,Pleated,S,orange,72,"A orange coloured, S sized, Pleated Trousers",105.0
10,2,157,91,3,273,Shirt,Linen,M,green,42,"A green coloured, M sized, Linen Shirt",91.0
3163,637,157,91,2,182,Shirt,Linen,M,green,42,"A green coloured, M sized, Linen Shirt",91.0
4779,958,157,91,1,91,Shirt,Linen,M,green,42,"A green coloured, M sized, Linen Shirt",91.0
11,2,1174,99,2,198,Trousers,High-Waisted,XL,green,78,"A green coloured, XL sized, High-Waisted Trousers",99.0
837,174,1174,99,1,99,Trousers,High-Waisted,XL,green,78,"A green coloured, XL sized, High-Waisted Trousers",99.0
1033,212,1174,99,1,99,Trousers,High-Waisted,XL,green,78,"A green coloured, XL sized, High-Waisted Trousers",99.0
12,3,54,104,1,104,Shirt,Dress,XL,green,52,"A green coloured, XL sized, Dress Shirt",104.0
3429,692,54,104,1,104,Shirt,Dress,XL,green,52,"A green coloured, XL sized, Dress Shirt",104.0
13,3,6,96,2,192,Shirt,Oxford Cloth,S,orange,72,"A orange coloured, S sized, Oxford Cloth Shirt",96.0
1640,335,6,96,1,96,Shirt,Oxford Cloth,S,orange,72,"A orange coloured, S sized, Oxford Cloth Shirt",96.0
1773,358,6,96,2,192,Shirt,Oxford Cloth,S,orange,72,"A orange coloured, S sized, Oxford Cloth Shirt",96.0
2148,432,6,96,1,96,Shirt,Oxford Cloth,S,orange,72,"A orange coloured, S sized, Oxford Cloth Shirt",96.0
4384,875,6,96,1,96,Shirt,Oxford Cloth,S,orange,72,"A orange coloured, S sized, Oxford Cloth Shirt",96.0
14,3,1010,106,2,212,Trousers,Wool,XS,violet,80,"A violet coloured, XS sized, Wool Trousers",106.0
2296,465,1010,106,2,212,Trousers,Wool,XS,violet,80,"A violet coloured, XS sized, Wool Trousers",106.0
2920,583,1010,106,2,212,Trousers,Wool,XS,violet,80,"A violet coloured, XS sized, Wool Trousers",106.0
15,4,1033,90,1,90,Trousers,Relaxed Leg,L,green,62,"A green coloured, L sized, Relaxed Leg Trousers",90.0
233,50,1033,90,3,270,Trousers,Relaxed Leg,L,green,62,"A green coloured, L sized, Relaxed Leg Trousers",90.0
1823,369,1033,90,3,270,Trousers,Relaxed Leg,L,green,62,"A green coloured, L sized, Relaxed Leg Trousers",90.0
2565,517,1033,90,3,270,Trousers,Relaxed Leg,L,green,62,"A green coloured, L sized, Relaxed Leg Trousers",90.0
3036,609,1033,90,3,270,Trousers,Relaxed Leg,L,green,62,"A green coloured, L sized, Relaxed Leg Trousers",90.0
3923,784,1033,90,1,90,Trousers,Relaxed Leg,L,green,62,"A green coloured, L sized, Relaxed Leg Trousers",90.0
16,4,1184,99,3,297,Trousers,High-Waisted,XL,indigo,57,"A indigo coloured, XL sized, High-Waisted Trousers",99.0
284,65,1184,99,3,297,Trousers,High-Waisted,XL,indigo,57,"A indigo coloured, XL sized, High-Waisted Trousers",99.0
870,180,1184,99,1,99,Trousers,High-Waisted,XL,indigo,57,"A indigo coloured, XL sized, High-Waisted Trousers",99.0
2017,406,1184,99,2,198,Trousers,High-Waisted,XL,indigo,57,"A indigo coloured, XL sized, High-Waisted Trousers",99.0
2392,486,1184,99,1,99,Trousers,High-Waisted,XL,indigo,57,"A indigo coloured, XL sized, High-Waisted Trousers",99.0
3278,661,1184,99,2,198,Trousers,High-Waisted,XL,indigo,57,"A indigo coloured, XL sized, High-Waisted Trousers",99.0
3679,736,1184,99,3,297,Trousers,High-Waisted,XL,indigo,57,"A indigo coloured, XL sized, High-Waisted Trousers",99.0
